აბატი	ɑbɑtʼɪ	ɑbɑtʼi
ავხორცულად	ɑvχɔrtsulɑd	ɑvxɔrtsulɑd
აზბესტი	ɑzbɛstʼɪ	ɑzbɛstʼi
აზვირთებული	ɑzvɪrtʰɛbulɪ	ɑzvirtʰɛbuli
აზიმუტი	ɑzɪmutʼɪ	ɑzimutʼi
აზიური	ɑzɪurɪ	ɑziuri
აზოტური	ɑzɔtʼurɪ	ɑzɔtʼuri
აზრიანად	ɑzrɪɑnɑd	ɑzriɑnɑd
აზრით	ɑzrɪtʰ	ɑzritʰ
აზრის	ɑzrɪs	ɑzris
ათასწლეული	ɑtʰɑstsʼlɛulɪ	ɑtʰɑstsʼlɛuli
ათასწლოვანი	ɑtʰɑstsʼlɔvɑnɪ	ɑtʰɑstsʼlɔvɑni
ათეიზმი	ɑtʰɛɪzmɪ	ɑtʰɛizmi
ათეისტი	ɑtʰɛɪstʼɪ	ɑtʰɛistʼi
ათეისტური	ɑtʰɛɪstʼurɪ	ɑtʰɛistʼuri
ათენი	ɑtʰɛnɪ	ɑtʰɛni
ათენური	ɑtʰɛnurɪ	ɑtʰɛnuri
ათეული	ɑtʰɛulɪ	ɑtʰɛuli
ათლეტი	ɑtʰlɛtʼɪ	ɑtʰlɛtʼi
ათლეტიკა	ɑtʰlɛtʼɪkʼɑ	ɑtʰlɛtʼikʼɑ
ათმარცვლიანი	ɑtʰmɑrtsvlɪɑnɪ	ɑtʰmɑrtsvliɑni
ათობითი	ɑtʰɔbɪtʰɪ	ɑtʰɔbitʰi
ათჯერადი	ɑtʰdʒɛrɑdɪ	ɑtʰdʒɛrɑdi
აი	ɑɪ	ɑi
აიდა	ɑɪdɑ	ɑidɑ
აივანი	ɑɪvɑnɪ	ɑivɑni
აივნიანი	ɑɪvnɪɑnɪ	ɑivniɑni
აირადი	ɑɪrɑdɪ	ɑirɑdi
აირი	ɑɪrɪ	ɑiri
აირღუმელი	ɑɪrʁumɛlɪ	ɑirɣumɛli
აირწინაღი	ɑɪrtsʼɪnɑʁɪ	ɑirtsʼinɑɣi
აისბერგი	ɑɪsbɛrɡɪ	ɑisbɛrɡi
აისი	ɑɪsɪ	ɑisi
აკადემია	ɑkʼɑdɛmɪɑ	ɑkʼɑdɛmiɑ
აკადემიად	ɑkʼɑdɛmɪɑd	ɑkʼɑdɛmiɑd
აკადემიამ	ɑkʼɑdɛmɪɑm	ɑkʼɑdɛmiɑm
აკადემიას	ɑkʼɑdɛmɪɑs	ɑkʼɑdɛmiɑs
აკადემიით	ɑkʼɑdɛmɪɪtʰ	ɑkʼɑdɛmiitʰ
აკადემიის	ɑkʼɑdɛmɪɪs	ɑkʼɑdɛmiis
აკადემიკოსი	ɑkʼɑdɛmɪkʼɔsɪ	ɑkʼɑdɛmikʼɔsi
აკადემიურად	ɑkʼɑdɛmɪurɑd	ɑkʼɑdɛmiurɑd
აკადემიური	ɑkʼɑdɛmɪurɪ	ɑkʼɑdɛmiuri
აკანკალებული	ɑkʼɑnkʼɑlɛbulɪ	ɑkʼɑnkʼɑlɛbuli
აკაცია	ɑkʼɑtsɪɑ	ɑkʼɑtsiɑ
აკვალანგი	ɑkʼvɑlɑnɡɪ	ɑkʼvɑlɑnɡi
აკვამარინი	ɑkʼvɑmɑrɪnɪ	ɑkʼvɑmɑrini
აკვანი	ɑkʼvɑnɪ	ɑkʼvɑni
აკვარელი	ɑkʼvɑrɛlɪ	ɑkʼvɑrɛli
აკვარელისტი	ɑkʼvɑrɛlɪstʼɪ	ɑkʼvɑrɛlistʼi
აკვარიუმი	ɑkʼvɑrɪumɪ	ɑkʼvɑriumi
აკვედუკი	ɑkʼvɛdukʼɪ	ɑkʼvɛdukʼi
აკვიატებულად	ɑkʼvɪɑtʼɛbulɑd	ɑkʼviɑtʼɛbulɑd
აკვიატებული	ɑkʼvɪɑtʼɛbulɪ	ɑkʼviɑtʼɛbuli
აკორდეონი	ɑkʼɔrdɛɔnɪ	ɑkʼɔrdɛɔni
აკრზალული	ɑkʼrzɑlulɪ	ɑkʼrzɑluli
აკრი	ɑkʼrɪ	ɑkʼri
აკრიფეთ	ɑkʼrɪpʰɛtʰ	ɑkʼripʰɛtʰ
აკრობატი	ɑkʼrɔbɑtʼɪ	ɑkʼrɔbɑtʼi
აკრობატიკა	ɑkʼrɔbɑtʼɪkʼɑ	ɑkʼrɔbɑtʼikʼɑ
აკროპოლისი	ɑkʼrɔpʼɔlɪsɪ	ɑkʼrɔpʼɔlisi
აკროსტიქი	ɑkʼrɔstʼɪkʰɪ	ɑkʼrɔstʼikʰi
აკრძალვითად	ɑkʼrdzɑlvɪtʰɑd	ɑkʼrdzɑlvitʰɑd
აკრძალვითი	ɑkʼrdzɑlvɪtʰɪ	ɑkʼrdzɑlvitʰi
აკუმულატორი	ɑkʼumulɑtʼɔrɪ	ɑkʼumulɑtʼɔri
აკუსტიკა	ɑkʼustʼɪkʼɑ	ɑkʼustʼikʼɑ
აკუსტიკური	ɑkʼustʼɪkʼurɪ	ɑkʼustʼikʼuri
ალაგი	ɑlɑɡɪ	ɑlɑɡi
ალადასტური	ɑlɑdɑstʼurɪ	ɑlɑdɑstʼuri
ალაფი	ɑlɑpʰɪ	ɑlɑpʰi
ალაჰი	ɑlɑhɪ	ɑlɑhi
ალბანური	ɑlbɑnurɪ	ɑlbɑnuri
ალბატროსი	ɑlbɑtʼrɔsɪ	ɑlbɑtʼrɔsi
ალბერტი	ɑlbɛrtʼɪ	ɑlbɛrtʼi
ალბინოსი	ɑlbɪnɔsɪ	ɑlbinɔsi
ალბომი	ɑlbɔmɪ	ɑlbɔmi
ალბომით	ɑlbɔmɪtʰ	ɑlbɔmitʰ
ალბომის	ɑlbɔmɪs	ɑlbɔmis
ალგებრული	ɑlɡɛbrulɪ	ɑlɡɛbruli
ალებასტრი	ɑlɛbɑstʼrɪ	ɑlɛbɑstʼri
ალეგორია	ɑlɛɡɔrɪɑ	ɑlɛɡɔriɑ
ალეგორიული	ɑlɛɡɔrɪulɪ	ɑlɛɡɔriuli
ალერგია	ɑlɛrɡɪɑ	ɑlɛrɡiɑ
ალერგიული	ɑlɛrɡɪulɪ	ɑlɛrɡiuli
ალერსით	ɑlɛrsɪtʰ	ɑlɛrsitʰ
ალერსის	ɑlɛrsɪs	ɑlɛrsis
ალექსანდრია	ɑlɛkʰsɑndrɪɑ	ɑlɛkʰsɑndriɑ
ალვეოლური	ɑlvɛɔlurɪ	ɑlvɛɔluri
ალი	ɑlɪ	ɑli
ალიაქოთი	ɑlɪɑkʰɔtʰɪ	ɑliɑkʰɔtʰi
ალიბი	ɑlɪbɪ	ɑlibi
ალიგატორი	ɑlɪɡɑtʼɔrɪ	ɑliɡɑtʼɔri
ალიკაპი	ɑlɪkʼɑpʼɪ	ɑlikʼɑpʼi
ალისფერი	ɑlɪspʰɛrɪ	ɑlispʰɛri
ალიტერაცია	ɑlɪtʼɛrɑtsɪɑ	ɑlitʼɛrɑtsiɑ
ალკოჰოლიზმი	ɑlkʼɔhɔlɪzmɪ	ɑlkʼɔhɔlizmi
ალკოჰოლური	ɑlkʼɔhɔlurɪ	ɑlkʼɔhɔluri
ალმასი	ɑlmɑsɪ	ɑlmɑsi
ალმოდებული	ɑlmɔdɛbulɪ	ɑlmɔdɛbuli
ალმური	ɑlmurɪ	ɑlmuri
ალპინიზმი	ɑlpʼɪnɪzmɪ	ɑlpʼinizmi
ალპინისტი	ɑlpʼɪnɪstʼɪ	ɑlpʼinistʼi
ალპური	ɑlpʼurɪ	ɑlpʼuri
ალტერნატივა	ɑltʼɛrnɑtʼɪvɑ	ɑltʼɛrnɑtʼivɑ
ალტერნატიულად	ɑltʼɛrnɑtʼɪulɑd	ɑltʼɛrnɑtʼiulɑd
ალტერნატიული	ɑltʼɛrnɑtʼɪulɪ	ɑltʼɛrnɑtʼiuli
ალტი	ɑltʼɪ	ɑltʼi
ალტიმეტრი	ɑltʼɪmɛtʼrɪ	ɑltʼimɛtʼri
ალტრუიზმი	ɑltʼruɪzmɪ	ɑltʼruizmi
ალტრუისტი	ɑltʼruɪstʼɪ	ɑltʼruistʼi
ალტრუისტულად	ɑltʼruɪstʼulɑd	ɑltʼruistʼulɑd
ალტრუისტული	ɑltʼruɪstʼulɪ	ɑltʼruistʼuli
ალქატი	ɑlkʰɑtʼɪ	ɑlkʰɑtʼi
ალქიმია	ɑlkʰɪmɪɑ	ɑlkʰimiɑ
ალქიმიკოსი	ɑlkʰɪmɪkʼɔsɪ	ɑlkʰimikʼɔsi
ალღო	ɑlʁɔ	ɑlɣɔ
ამაგი	ɑmɑɡɪ	ɑmɑɡi
ამარილისი	ɑmɑrɪlɪsɪ	ɑmɑrilisi
ამაღელვებლად	ɑmɑʁɛlvɛblɑd	ɑmɑɣɛlvɛblɑd
ამაში	ɑmɑʃɪ	ɑmɑʃi
ამბიცია	ɑmbɪtsɪɑ	ɑmbitsiɑ
ამბოხებული	ɑmbɔχɛbulɪ	ɑmbɔxɛbuli
ამეთვისტო	ɑmɛtʰvɪstʼɔ	ɑmɛtʰvistʼɔ
ამერიკად	ɑmɛrɪkʼɑd	ɑmɛrikʼɑd
ამერიკამ	ɑmɛrɪkʼɑm	ɑmɛrikʼɑm
ამერიკანიზმი	ɑmɛrɪkʼɑnɪzmɪ	ɑmɛrikʼɑnizmi
ამერიკას	ɑmɛrɪkʼɑs	ɑmɛrikʼɑs
ამერიკელი	ɑmɛrɪkʼɛlɪ	ɑmɛrikʼɛli
ამერიკით	ɑmɛrɪkʼɪtʰ	ɑmɛrikʼitʰ
ამერიკის	ɑmɛrɪkʼɪs	ɑmɛrikʼis
ამერიკული	ɑmɛrɪkʼulɪ	ɑmɛrikʼuli
ამთვისებელი	ɑmtʰvɪsɛbɛlɪ	ɑmtʰvisɛbɛli
ამიაკი	ɑmɪɑkʼɪ	ɑmiɑkʼi
ამიერიდან	ɑmɪɛrɪdɑn	ɑmiɛridɑn
ამით	ɑmɪtʰ	ɑmitʰ
ამინ	ɑmɪn	ɑmin
ამირა	ɑmɪrɑ	ɑmirɑ
ამიტომ	ɑmɪtʼɔm	ɑmitʼɔm
ამნეზია	ɑmnɛzɪɑ	ɑmnɛziɑ
ამნისტია	ɑmnɪstʼɪɑ	ɑmnistʼiɑ
ამობურცული	ɑmɔburtsulɪ	ɑmɔburtsuli
ამოთითხნილი	ɑmɔtʰɪtʰχnɪlɪ	ɑmɔtʰitʰxnili
ამოიდო	ɑmɔɪdɔ	ɑmɔidɔ
ამომწურავი	ɑmɔmtsʼurɑvɪ	ɑmɔmtsʼurɑvi
ამომჭმელი	ɑmɔmtʃʼmɛlɪ	ɑmɔmtʃʼmɛli
ამორალური	ɑmɔrɑlurɪ	ɑmɔrɑluri
ამორტიზაცია	ɑmɔrtʼɪzɑtsɪɑ	ɑmɔrtʼizɑtsiɑ
ამორფული	ɑmɔrpʰulɪ	ɑmɔrpʰuli
ამორჩეული	ɑmɔrtʃɛulɪ	ɑmɔrtʃɛuli
ამოურჩეველი	ɑmɔurtʃɛvɛlɪ	ɑmɔurtʃɛvɛli
ამოუწურავი	ɑmɔutsʼurɑvɪ	ɑmɔutsʼurɑvi
ამოყვანილი	ɑmɔqʼvɑnɪlɪ	ɑmɔqʼvɑnili
ამოშვერილი	ɑmɔʃvɛrɪlɪ	ɑmɔʃvɛrili
ამპერი	ɑmpʼɛrɪ	ɑmpʼɛri
ამპერმეტრი	ɑmpʼɛrmɛtʼrɪ	ɑmpʼɛrmɛtʼri
ამპლიტუდა	ɑmpʼlɪtʼudɑ	ɑmpʼlitʼudɑ
ამპუტაცია	ɑmpʼutʼɑtsɪɑ	ɑmpʼutʼɑtsiɑ
ამუზია	ɑmuzɪɑ	ɑmuziɑ
ამულეტი	ɑmulɛtʼɪ	ɑmulɛtʼi
ამფიბია	ɑmpʰɪbɪɑ	ɑmpʰibiɑ
ამფითეატრი	ɑmpʰɪtʰɛɑtʼrɪ	ɑmpʰitʰɛɑtʼri
ამხედრებული	ɑmχɛdrɛbulɪ	ɑmxɛdrɛbuli
ანაბეჭდი	ɑnɑbɛtʃʼdɪ	ɑnɑbɛtʃʼdi
ანალიზი	ɑnɑlɪzɪ	ɑnɑlizi
ანალიზური	ɑnɑlɪzurɪ	ɑnɑlizuri
ანალიტიკოსი	ɑnɑlɪtʼɪkʼɔsɪ	ɑnɑlitʼikʼɔsi
ანალოგი	ɑnɑlɔɡɪ	ɑnɑlɔɡi
ანალოგია	ɑnɑlɔɡɪɑ	ɑnɑlɔɡiɑ
ანალოგიურად	ɑnɑlɔɡɪurɑd	ɑnɑlɔɡiurɑd
ანალური	ɑnɑlurɪ	ɑnɑluri
ანარქია	ɑnɑrkʰɪɑ	ɑnɑrkʰiɑ
ანარქიზმი	ɑnɑrkʰɪzmɪ	ɑnɑrkʰizmi
ანარქისტი	ɑnɑrkʰɪstʼɪ	ɑnɑrkʰistʼi
ანარქიულად	ɑnɑrkʰɪulɑd	ɑnɑrkʰiulɑd
ანარქიული	ɑnɑrkʰɪulɪ	ɑnɑrkʰiuli
ანატომი	ɑnɑtʼɔmɪ	ɑnɑtʼɔmi
ანატომიურად	ɑnɑtʼɔmɪurɑd	ɑnɑtʼɔmiurɑd
ანატომიური	ɑnɑtʼɔmɪurɪ	ɑnɑtʼɔmiuri
ანაქრონიზმი	ɑnɑkʰrɔnɪzmɪ	ɑnɑkʰrɔnizmi
ანბანური	ɑnbɑnurɪ	ɑnbɑnuri
ანგარები	ɑnɡɑrɛbɪ	ɑnɡɑrɛbi
ანგარიშმიუცემლად	ɑnɡɑrɪʃmɪutsɛmlɑd	ɑnɡɑriʃmiutsɛmlɑd
ანგელოზივით	ɑnɡɛlɔzɪvɪtʰ	ɑnɡɛlɔzivitʰ
ანგინა	ɑnɡɪnɑ	ɑnɡinɑ
ანგლიციზმი	ɑnɡlɪtsɪzmɪ	ɑnɡlitsizmi
ანგლოსაქსური	ɑnɡlɔsɑkʰsurɪ	ɑnɡlɔsɑkʰsuri
ანგლოფობი	ɑnɡlɔpʰɔbɪ	ɑnɡlɔpʰɔbi
ანდრია	ɑndrɪɑ	ɑndriɑ
ანეკდოტური	ɑnɛkʼdɔtʼurɪ	ɑnɛkʼdɔtʼuri
ანემია	ɑnɛmɪɑ	ɑnɛmiɑ
ანემიურად	ɑnɛmɪurɑd	ɑnɛmiurɑd
ანესთეზია	ɑnɛstʰɛzɪɑ	ɑnɛstʰɛziɑ
ანექსია	ɑnɛkʰsɪɑ	ɑnɛkʰsiɑ
ანთებითი	ɑntʰɛbɪtʰɪ	ɑntʰɛbitʰi
ანთებული	ɑntʰɛbulɪ	ɑntʰɛbuli
ანთოლოგია	ɑntʰɔlɔɡɪɑ	ɑntʰɔlɔɡiɑ
ანთრაციტი	ɑntʰrɑtsɪtʼɪ	ɑntʰrɑtsitʼi
ანთროპოიდი	ɑntʰrɔpʼɔɪdɪ	ɑntʰrɔpʼɔidi
ანთროპოიდული	ɑntʰrɔpʼɔɪdulɪ	ɑntʰrɔpʼɔiduli
ანთროპოლოგი	ɑntʰrɔpʼɔlɔɡɪ	ɑntʰrɔpʼɔlɔɡi
ანიმაციური	ɑnɪmɑtsɪurɪ	ɑnimɑtsiuri
ანიმიზმი	ɑnɪmɪzmɪ	ɑnimizmi
ანისული	ɑnɪsulɪ	ɑnisuli
ანკესი	ɑnkʼɛsɪ	ɑnkʼɛsi
ანომალია	ɑnɔmɑlɪɑ	ɑnɔmɑliɑ
ანომალიური	ɑnɔmɑlɪurɪ	ɑnɔmɑliuri
ანონიმურად	ɑnɔnɪmurɑd	ɑnɔnimurɑd
ანონსი	ɑnɔnsɪ	ɑnɔnsi
ანოტაცია	ɑnɔtʼɑtsɪɑ	ɑnɔtʼɑtsiɑ
ანტაგონიზმი	ɑntʼɑɡɔnɪzmɪ	ɑntʼɑɡɔnizmi
ანტაგონისტურად	ɑntʼɑɡɔnɪstʼurɑd	ɑntʼɑɡɔnistʼurɑd
ანტარქტიკული	ɑntʼɑrkʰtʼɪkʼulɪ	ɑntʼɑrkʰtʼikʼuli
ანტიბიოტიკი	ɑntʼɪbɪɔtʼɪkʼɪ	ɑntʼibiɔtʼikʼi
ანტიგმირი	ɑntʼɪɡmɪrɪ	ɑntʼiɡmiri
ანტივირუსი	ɑntʼɪvɪrusɪ	ɑntʼivirusi
ანტიკვარი	ɑntʼɪkʼvɑrɪ	ɑntʼikʼvɑri
ანტიკვარული	ɑntʼɪkʼvɑrulɪ	ɑntʼikʼvɑruli
ანტილოპა	ɑntʼɪlɔpʼɑ	ɑntʼilɔpʼɑ
ანტიპათია	ɑntʼɪpʼɑtʰɪɑ	ɑntʼipʼɑtʰiɑ
ანტიპათიური	ɑntʼɪpʼɑtʰɪurɪ	ɑntʼipʼɑtʰiuri
ანტისხეული	ɑntʼɪsχɛulɪ	ɑntʼisxɛuli
ანტიციკლონი	ɑntʼɪtsɪkʼlɔnɪ	ɑntʼitsikʼlɔni
ანტონიმი	ɑntʼɔnɪmɪ	ɑntʼɔnimi
ანტრაქტი	ɑntʼrɑkʰtʼɪ	ɑntʼrɑkʰtʼi
ანტრესოლი	ɑntʼrɛsɔlɪ	ɑntʼrɛsɔli
ანტურაჟი	ɑntʼurɑʒɪ	ɑntʼurɑʒi
აორისტი	ɑɔrɪstʼɪ	ɑɔristʼi
აპათია	ɑpʼɑtʰɪɑ	ɑpʼɑtʰiɑ
აპათიურად	ɑpʼɑtʰɪurɑd	ɑpʼɑtʰiurɑd
აპათიური	ɑpʼɑtʰɪurɪ	ɑpʼɑtʰiuri
აპარატი	ɑpʼɑrɑtʼɪ	ɑpʼɑrɑtʼi
აპარატით	ɑpʼɑrɑtʼɪtʰ	ɑpʼɑrɑtʼitʰ
აპარატის	ɑpʼɑrɑtʼɪs	ɑpʼɑrɑtʼis
აპენდიქსი	ɑpʼɛndɪkʰsɪ	ɑpʼɛndikʰsi
აპენდიციტი	ɑpʼɛndɪtsɪtʼɪ	ɑpʼɛnditsitʼi
აპკოვანი	ɑpʼkʼɔvɑnɪ	ɑpʼkʼɔvɑni
აპლოდისმენტი	ɑpʼlɔdɪsmɛntʼɪ	ɑpʼlɔdismɛntʼi
აპლომბი	ɑpʼlɔmbɪ	ɑpʼlɔmbi
აპოკალიფსი	ɑpʼɔkʼɑlɪpʰsɪ	ɑpʼɔkʼɑlipʰsi
აპოკალიფსური	ɑpʼɔkʼɑlɪpʰsurɪ	ɑpʼɔkʼɑlipʰsuri
აპოკრიფული	ɑpʼɔkʼrɪpʰulɪ	ɑpʼɔkʼripʰuli
აპოლოგეტი	ɑpʼɔlɔɡɛtʼɪ	ɑpʼɔlɔɡɛtʼi
აპოლოგეტიკა	ɑpʼɔlɔɡɛtʼɪkʼɑ	ɑpʼɔlɔɡɛtʼikʼɑ
აპრილად	ɑpʼrɪlɑd	ɑpʼrilɑd
აპრილით	ɑpʼrɪlɪtʰ	ɑpʼrilitʰ
აპრილის	ɑpʼrɪlɪs	ɑpʼrilis
აპრილმა	ɑpʼrɪlmɑ	ɑpʼrilmɑ
აპრილს	ɑpʼrɪls	ɑpʼrils
აპრიორი	ɑpʼrɪɔrɪ	ɑpʼriɔri
აპრიორული	ɑpʼrɪɔrulɪ	ɑpʼriɔruli
არაარსებითი	ɑrɑɑrsɛbɪtʰɪ	ɑrɑɑrsɛbitʰi
არაბესკები	ɑrɑbɛskʼɛbɪ	ɑrɑbɛskʼɛbi
არაბისტი	ɑrɑbɪstʼɪ	ɑrɑbistʼi
არაბუნებრივად	ɑrɑbunɛbrɪvɑd	ɑrɑbunɛbrivɑd
არაბუნებრივი	ɑrɑbunɛbrɪvɪ	ɑrɑbunɛbrivi
არაგონებამახვილურად	ɑrɑɡɔnɛbɑmɑχvɪlurɑd	ɑrɑɡɔnɛbɑmɑxvilurɑd
არაგონივრულად	ɑrɑɡɔnɪvrulɑd	ɑrɑɡɔnivrulɑd
არაგონივრული	ɑrɑɡɔnɪvrulɪ	ɑrɑɡɔnivruli
არაგრამატიკულად	ɑrɑɡrɑmɑtʼɪkʼulɑd	ɑrɑɡrɑmɑtʼikʼulɑd
არაგულწრფელი	ɑrɑɡultsʼrpʰɛlɪ	ɑrɑɡultsʼrpʰɛli
არადამაკმაყოფილებლად	ɑrɑdɑmɑkʼmɑqʼɔpʰɪlɛblɑd	ɑrɑdɑmɑkʼmɑqʼɔpʰilɛblɑd
არადამახასიათებლად	ɑrɑdɑmɑχɑsɪɑtʰɛblɑd	ɑrɑdɑmɑxɑsiɑtʰɛblɑd
არადემოკრატიულად	ɑrɑdɛmɔkʼrɑtʼɪulɑd	ɑrɑdɛmɔkʼrɑtʼiulɑd
არაეთიკურად	ɑrɑɛtʰɪkʼurɑd	ɑrɑɛtʰikʼurɑd
